FLDATE,QC_modify_Date,ou,FLYPITCODE,Itemdesc,pt,dn,FLYPGRADE,grade_actual,Grade_Type,Department,BM_Line,repack,packingfor,FLYPNETWT
2025-10-28,2025-11-01,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Domestic,95.7
2025-06-21,2025-06-23,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,C,Firstgrade,KNITTING,KNIT-04,1,Capt Packing,184.48
2025-05-24,2025-05-28,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,287.23
2025-04-14,2025-04-19,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,1,Export,102.97
2025-08-02,2025-08-03,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,WEAVING,LOOM-A1,1,Export,93.5
2025-04-27,2025-04-30,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,B,Firstgrade,FINISHING,STEAM-01,0,Export,41.27
2025-10-06,2025-10-09,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,D,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,277.82
2025-06-27,2025-06-28,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,174.16
2025-06-23,2025-06-24,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,73.14
2025-06-17,2025-06-19,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,409.0
2025-09-25,2025-09-27,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,WEAVING,LOOM-A1,1,Export,197.8
2025-08-19,2025-08-23,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,D,downgrade,KNITTING,KNIT-04,1,Export,143.54
2025-10-29,2025-10-30,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,D,downgrade,DYEING,DYE-JET2,1,Domestic,6.02
2025-10-30,2025-11-02,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,40.01
2025-08-18,2025-08-22,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,40.54
2025-12-23,2025-12-27,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,123.72
2025-05-02,2025-05-06,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,268.77
2025-10-06,2025-10-09,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,35.97
2025-05-16,2025-05-20,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Domestic,408.95
2025-10-27,2025-10-31,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,98.18
2026-01-03,2026-01-06,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,6.86
2025-06-11,2025-06-13,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,3.89
2025-02-18,2025-02-19,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,D,D,Firstgrade,DYEING,DYE-JET2,0,Export,190.38
2025-11-25,2025-11-30,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,396.34
2025-09-25,2025-09-29,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,D,downgrade,DYEING,DYE-JET2,1,Capt Packing,411.15
2025-10-11,2025-10-13,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,43.55
2025-02-05,2025-02-06,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Domestic,25.03
2025-11-05,2025-11-09,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Export,499.56
2025-12-05,2025-12-06,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,A1,Firstgrade,FINISHING,STEAM-01,1,Export,410.56
2025-12-13,2025-12-17,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A1,D,downgrade,DYEING,DYE-JET2,1,Domestic,95.71
2025-11-25,2025-11-26,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A1,downgrade,KNITTING,KNIT-04,1,Domestic,190.66
2025-08-29,2025-09-03,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,FINISHING,STEAM-01,0,Domestic,91.67
2025-12-28,2025-12-29,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,102.56
2025-09-02,2025-09-05,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,C,C,Firstgrade,WEAVING,LOOM-A1,0,Export,385.23
2025-11-29,2025-12-03,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,WEAVING,LOOM-A1,1,Domestic,31.62
2026-01-06,2026-01-07,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,A1,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,79.49
2025-09-21,2025-09-25,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,B,downgrade,WEAVING,LOOM-A1,1,Export,217.63
2026-02-14,2026-02-18,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,C,C,Firstgrade,WEAVING,LOOM-A1,1,Export,21.15
2025-04-08,2025-04-13,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,B,downgrade,CUTTING,CUT-LINE3,1,Domestic,429.62
2025-08-08,2025-08-13,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Export,102.63
2026-03-23,2026-03-27,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,D,Firstgrade,KNITTING,KNIT-04,0,Export,507.69
2025-09-25,2025-09-26,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A,Firstgrade,FINISHING,STEAM-01,1,Capt Packing,83.05
2025-07-31,2025-08-05,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Domestic,49.67
2025-08-07,2025-08-10,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,B,A,Firstgrade,KNITTING,KNIT-04,1,Domestic,11.25
2025-09-01,2025-09-03,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,C,downgrade,WEAVING,LOOM-A1,1,Domestic,50.74
2025-11-05,2025-11-07,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,231.58
2025-02-02,2025-02-04,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,477.44
2025-06-16,2025-06-17,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,171.64
2025-01-27,2025-01-29,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Export,162.75
2025-11-29,2025-12-01,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,A1,Firstgrade,FINISHING,STEAM-01,1,Domestic,190.74
2025-04-03,2025-04-07,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Domestic,147.83
2025-11-17,2025-11-20,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Export,17.59
2025-11-13,2025-11-16,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Export,44.98
2025-11-29,2025-12-03,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,C,Firstgrade,WEAVING,LOOM-A1,0,Export,134.23
2025-10-22,2025-10-25,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,12.23
2025-10-09,2025-10-11,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,70.59
2025-06-08,2025-06-12,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,67.93
2026-01-01,2026-01-04,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,D,downgrade,KNITTING,KNIT-04,1,Export,118.9
2025-11-15,2025-11-19,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,D,Firstgrade,KNITTING,KNIT-04,0,Export,417.44
2025-10-04,2025-10-08,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,FINISHING,STEAM-01,0,Export,462.73
2025-09-30,2025-10-03,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,C,downgrade,DYEING,DYE-JET2,1,Export,91.21
2025-10-12,2025-10-15,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,19.45
2025-11-03,2025-11-04,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,D,D,Firstgrade,WEAVING,LOOM-A1,0,Domestic,60.66
2025-07-06,2025-07-07,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,1,Export,154.79
2025-06-25,2025-06-26,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Export,44.88
2025-06-15,2025-06-16,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,D,downgrade,DYEING,DYE-JET2,1,Export,131.27
2025-09-12,2025-09-13,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,D,downgrade,CUTTING,CUT-LINE3,1,Export,57.65
2025-06-05,2025-06-09,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,21.33
2025-08-10,2025-08-13,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,52.81
2025-12-05,2025-12-06,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,D,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,488.67
2025-07-06,2025-07-09,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,C,downgrade,DYEING,DYE-JET2,1,Capt Packing,47.16
2025-10-27,2025-10-28,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,C,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,204.92
2025-10-13,2025-10-14,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Domestic,83.94
2025-07-23,2025-07-24,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,D,downgrade,FINISHING,STEAM-01,1,Export,147.3
2025-10-28,2025-10-29,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,94.76
2025-06-17,2025-06-19,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,B,downgrade,FINISHING,STEAM-01,1,Domestic,37.11
2025-10-20,2025-10-23,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,69.27
2025-12-03,2025-12-08,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Export,235.63
2025-06-05,2025-06-07,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Export,24.56
2025-04-17,2025-04-19,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,394.55
2025-08-24,2025-08-28,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A1,downgrade,WEAVING,LOOM-A1,1,Export,113.69
2025-03-05,2025-03-10,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,KNITTING,KNIT-04,0,Domestic,373.39
2025-09-25,2025-09-28,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,22.95
2025-03-12,2025-03-13,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,138.23
2026-01-04,2026-01-07,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,D,downgrade,WEAVING,LOOM-A1,1,Capt Packing,77.47
2025-12-31,2026-01-03,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,KNITTING,KNIT-04,1,Export,233.54
2026-03-20,2026-03-21,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,D,downgrade,DYEING,DYE-JET2,1,Capt Packing,185.39
2025-12-06,2025-12-10,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,D,D,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,437.78
2025-09-29,2025-09-30,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,451.57
2025-04-03,2025-04-04,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,C,C,Firstgrade,FINISHING,STEAM-01,0,Export,139.03
2025-11-30,2025-12-04,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,47.83
2025-12-18,2025-12-19,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,D,D,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,38.83
2025-05-10,2025-05-11,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,C,C,Firstgrade,DYEING,DYE-JET2,0,Domestic,33.95
2025-02-23,2025-02-24,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,C,Firstgrade,WEAVING,LOOM-A1,1,Capt Packing,78.22
2025-09-27,2025-09-29,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Export,51.04
2025-07-20,2025-07-23,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Domestic,371.88
2025-02-12,2025-02-14,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A1,downgrade,FINISHING,STEAM-01,1,Domestic,98.84
2025-11-17,2025-11-18,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,B,downgrade,WEAVING,LOOM-A1,1,Export,600.14
2025-03-12,2025-03-17,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,231.49
2025-12-11,2025-12-16,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,76.07
2025-10-10,2025-10-13,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,D,downgrade,FINISHING,STEAM-01,1,Domestic,64.24
2025-12-21,2025-12-24,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,A,Firstgrade,WEAVING,LOOM-A1,1,Capt Packing,150.85
2026-03-10,2026-03-11,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,86.32
2025-11-14,2025-11-19,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,C,Firstgrade,WEAVING,LOOM-A1,0,Domestic,288.44
2025-08-12,2025-08-14,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,B,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,97.7
2025-06-21,2025-06-24,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,D,D,Firstgrade,WEAVING,LOOM-A1,0,Domestic,70.55
2026-01-20,2026-01-25,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Export,494.32
2025-07-29,2025-07-30,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,347.63
2026-03-19,2026-03-22,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,20.85
2026-02-26,2026-02-27,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,489.48
2025-11-03,2025-11-07,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,1,Capt Packing,201.97
2025-10-03,2025-10-06,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Export,83.68
2025-10-23,2025-10-26,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,347.75
2025-10-24,2025-10-28,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,444.66
2025-05-27,2025-05-30,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,C,downgrade,WEAVING,LOOM-A1,1,Export,465.57
2025-09-11,2025-09-16,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,C,Firstgrade,WEAVING,LOOM-A1,0,Export,76.69
2025-10-16,2025-10-21,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,D,downgrade,FINISHING,STEAM-01,1,Capt Packing,253.88
2025-07-07,2025-07-11,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,D,downgrade,CUTTING,CUT-LINE3,1,Domestic,432.33
2025-10-05,2025-10-08,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,D,D,Firstgrade,WEAVING,LOOM-A1,0,Export,148.9
2025-06-01,2025-06-05,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,77.05
2025-10-21,2025-10-26,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,252.8
2025-12-11,2025-12-12,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,D,downgrade,KNITTING,KNIT-04,1,Export,67.85
2025-10-29,2025-10-30,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,C,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,79.96
2025-12-11,2025-12-15,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,CUTTING,CUT-LINE3,1,Capt Packing,321.58
2025-08-15,2025-08-16,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,C,downgrade,KNITTING,KNIT-04,1,Capt Packing,353.1
2025-05-21,2025-05-24,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Domestic,267.62
2026-01-16,2026-01-21,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,C,downgrade,FINISHING,STEAM-01,1,Capt Packing,68.08
2025-10-01,2025-10-04,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,C,B,Firstgrade,FINISHING,STEAM-01,1,Export,5.04
2025-03-23,2025-03-24,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Domestic,137.82
2025-03-05,2025-03-08,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,1,Export,68.85
2025-10-06,2025-10-09,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,C,downgrade,KNITTING,KNIT-04,1,Domestic,57.76
2025-12-28,2025-12-30,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,D,downgrade,WEAVING,LOOM-A1,1,Export,64.98
2025-06-14,2025-06-17,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,551.93
2025-12-20,2025-12-22,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,C,downgrade,WEAVING,LOOM-A1,1,Export,386.68
2025-11-09,2025-11-11,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,21.27
2025-07-11,2025-07-16,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,A,Firstgrade,KNITTING,KNIT-04,1,Capt Packing,90.77
2025-09-02,2025-09-07,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,C,Firstgrade,WEAVING,LOOM-A1,0,Export,182.99
2025-12-14,2025-12-17,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,D,D,Firstgrade,DYEING,DYE-JET2,1,Domestic,105.44
2025-04-03,2025-04-06,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,436.38
2026-02-21,2026-02-26,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,B,downgrade,FINISHING,STEAM-01,1,Domestic,13.37
2026-01-25,2026-01-30,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,D,downgrade,DYEING,DYE-JET2,1,Export,21.85
2025-04-15,2025-04-19,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,420.03
2025-06-14,2025-06-16,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,D,D,Firstgrade,WEAVING,LOOM-A1,0,Export,105.56
2025-06-21,2025-06-26,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,D,A1,Firstgrade,DYEING,DYE-JET2,1,Export,34.05
2025-04-24,2025-04-27,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,C,A1,Firstgrade,FINISHING,STEAM-01,1,Capt Packing,11.08
2025-05-27,2025-06-01,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,D,downgrade,DYEING,DYE-JET2,1,Domestic,263.82
2025-11-27,2025-11-28,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,B,C,downgrade,CUTTING,CUT-LINE3,1,Domestic,10.15
2025-07-24,2025-07-26,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,D,Firstgrade,KNITTING,KNIT-04,1,Export,318.81
2025-05-09,2025-05-13,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,B,downgrade,WEAVING,LOOM-A1,1,Export,69.78
2025-07-01,2025-07-05,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,56.43
2025-03-31,2025-04-03,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,CUTTING,CUT-LINE3,1,Export,308.91
2025-06-14,2025-06-16,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,445.85
2025-07-29,2025-08-01,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,B,downgrade,DYEING,DYE-JET2,1,Capt Packing,509.89
2025-12-21,2025-12-22,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,307.37
2025-09-26,2025-09-28,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A1,D,downgrade,FINISHING,STEAM-01,1,Domestic,192.49
2025-11-29,2025-11-30,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,115.91
2025-09-12,2025-09-16,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,13.62
2025-05-16,2025-05-20,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,122.94
2025-09-07,2025-09-11,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,D,Firstgrade,FINISHING,STEAM-01,0,Domestic,462.51
2025-04-13,2025-04-18,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Domestic,17.37
2025-12-05,2025-12-09,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Domestic,164.25
2025-03-27,2025-03-31,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,305.13
2025-11-05,2025-11-08,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,A1,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,25.17
2025-09-29,2025-10-04,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,225.18
2025-12-20,2025-12-25,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,D,downgrade,KNITTING,KNIT-04,1,Domestic,234.08
2025-07-20,2025-07-21,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,B,Firstgrade,WEAVING,LOOM-A1,1,Export,497.91
2026-03-08,2026-03-10,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,1,Export,185.47
2025-12-31,2026-01-02,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,373.41
2025-09-08,2025-09-12,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,D,downgrade,DYEING,DYE-JET2,1,Domestic,360.05
2025-11-10,2025-11-13,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Export,33.76
2025-12-11,2025-12-14,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,11.19
2025-08-04,2025-08-08,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,169.08
